Date,Source,Impressions,Clicks,Session,Conversions,Budget
2018-03-01,ADX,2233904,7384,5259,134,8127100
2018-03-02,ADX,1572223,7662,6188,164,8090900
2018-03-03,ADX,862506,6081,4949,142,6019000
2018-03-04,ADX,667292,5671,4552,166,6000800
2018-03-05,ADX,928914,7352,5629,207,7533300
2018-03-06,ADX,1015640,7126,5736,452,7504400
2018-03-07,ADX,1423470,7957,6379,116,7524800
2018-03-08,ADX,1132409,7879,6522,173,7530800
2018-03-09,ADX,1012507,7739,5998,207,7523900
2018-03-10,ADX,798285,7344,5034,196,7510500
2018-03-11,ADX,886243,7179,5637,171,7506000
2018-03-12,ADX,988228,7144,5642,219,7507300
2018-03-13,ADX,1185562,7272,3845,144,7521500
2018-03-14,ADX,869279,7433,5907,198,7522800
2018-03-15,ADX,984368,7452,5734,173,7530900
2018-03-16,ADX,1238925,7224,5196,203,7517200
2018-03-17,ADX,769243,7301,4965,115,7514000
2018-03-18,ADX,852371,7321,5489,304,7512100
2018-03-19,ADX,1008267,7271,5774,428,7526000
2018-03-20,ADX,863816,5822,4533,153,6014700
2018-03-21,ADX,1081561,7056,5106,140,7502800
2018-03-22,ADX,973151,6587,5469,190,7503400
2018-03-23,ADX,5237180,7454,5982,115,7626100
2018-03-24,ADX,8537629,7642,4791,96,7547800
2018-03-25,ADX,9283172,7992,4819,60,7539300
2018-03-26,ADX,712717,694,613,4,681300
2018-03-27,ADX,0,0,98,1,0
2018-03-28,ADX,0,0,99,1,0
2018-03-29,ADX,0,0,60,0,0
2018-03-30,ADX,0,0,45,4,0
2018-03-31,ADX,0,0,47,1,0
2018-04-01,ADX,0,0,44,2,0
2018-04-02,ADX,0,0,27,1,0
2018-04-03,ADX,0,0,23,0,0
2018-04-04,ADX,0,0,31,0,0
2018-04-05,ADX,0,0,28,0,0
2018-04-06,ADX,14477953,6258,3748,10,7509500
2018-04-07,ADX,16347320,6262,4394,13,7514400
2018-04-08,ADX,16150941,6275,3741,6,7530000
2018-04-09,ADX,1221953,732,490,6,1003100
2018-04-10,ADX,2295547,1703,1109,8,2879700
2018-04-11,ADX,1674161,1521,947,0,2584500
2018-04-12,ADX,2612069,2292,1456,6,3893200
2018-04-13,ADX,2355012,1900,1485,10,3230000
2018-04-14,ADX,1072580,937,662,0,1592400
2018-04-15,ADX,847114,1248,912,2,2120200
2018-04-16,ADX,1378407,933,663,7,1585900
2018-04-17,ADX,837099,850,719,5,1444400
2018-04-18,ADX,756648,961,825,9,1584000
2018-04-19,ADX,417834,418,402,0,634800
2018-04-20,ADX,324821,366,354,18,590600
2018-04-21,ADX,342613,272,257,1,342613
2018-04-22,ADX,313151,218,212,1,340000
2018-04-23,ADX,665751,385,360,2,608600
2018-04-24,ADX,391760,333,315,1,555700
2018-04-25,ADX,538171,492,324,1,766400
2018-04-26,ADX,725729,716,706,7,1013100
2018-04-27,ADX,352171,458,436,3,495200
2018-04-28,ADX,345586,458,422,2,504600
2018-04-29,ADX,303487,505,464,2,532200
2018-04-30,ADX,719603,499,457,1,538300
2018-05-01,ADX,283294,528,436,0,574600
2018-05-02,ADX,421145,721,668,9,807100
2018-05-03,ADX,368988,718,756,3,734900
2018-05-04,ADX,1446475,1137,940,6,1036400
2018-05-05,ADX,329350,520,454,4,520800
2018-05-06,ADX,244442,436,376,1,446400
2018-05-07,ADX,342170,581,509,4,608700
2018-05-08,ADX,412327,534,469,2,567400
2018-05-09,ADX,339120,515,464,1,522600
2018-05-10,ADX,347753,486,444,5,509500
2018-05-11,ADX,247241,339,331,2,368700
2018-05-12,ADX,227143,315,266,4,324100
2018-05-13,ADX,228981,327,271,1,363600
2018-05-14,ADX,349668,472,445,1,500900
2018-05-15,ADX,310470,486,450,1,522300
2018-05-16,ADX,58421,113,113,0,97700
2018-05-17,ADX,0,0,14,0,0
2018-05-18,ADX,0,0,14,4,0
2018-05-19,ADX,0,0,9,0,0
2018-05-20,ADX,0,0,9,0,0
2018-05-21,ADX,0,0,5,0,0
2018-05-22,ADX,0,0,11,0,0
2018-05-23,ADX,0,0,6,0,0
2018-05-24,ADX,0,0,4,0,0
